str_id,numatom,energy,finalspacegroup,E-Emin,E_form_fu
POSCAR_24_atoms_24_837,24,-9.292919645416667,1,0.4709813320833334,0.9509940424999996
POSCAR_24_atoms_24_406,24,-9.292676294583334,1,0.4712246829166666,0.9514807441666662
POSCAR_24_atoms_24_88,24,-9.291671274583333,1,0.4722297029166676,0.953490784166668
POSCAR_24_atoms_24_119,24,-9.291617994583332,1,0.4722829829166688,0.9535973441666705
POSCAR_24_atoms_24_364,24,-9.291582329166667,1,0.4723186483333333,0.9536686749999994
POSCAR_24_atoms_24_145,24,-9.288531896666667,1,0.4753690808333335,0.9597695399999999
POSCAR_24_atoms_24_818,24,-9.288475595833333,1,0.4754253816666676,0.9598821416666681
POSCAR_24_atoms_24_1068,24,-9.288243733333333,1,0.4756572441666673,0.9603458666666675
POSCAR_24_atoms_24_532,24,-9.288152022083333,1,0.4757489554166678,0.9605292891666686
POSCAR_24_atoms_24_972,24,-9.2874859925,1,0.4764149849999999,0.9618613483333327
POSCAR_24_atoms_24_294,24,-9.28743794875,1,0.4764630287500005,0.9619574358333338
POSCAR_24_atoms_24_866,24,-9.287404558333334,1,0.4764964191666667,0.9620242166666664
POSCAR_24_atoms_24_987,24,-9.285940712916666,1,0.4779602645833343,0.9649519075000015
POSCAR_24_atoms_24_310,24,-9.285584292083334,1,0.4783166854166669,0.9656647491666668
POSCAR_24_atoms_24_735,24,-9.285128442916667,1,0.4787725345833334,0.9665764474999996
POSCAR_24_atoms_24_1159,24,-9.2841153875,1,0.4797855900000005,0.968602558333334
POSCAR_24_atoms_24_1135,24,-9.28397114625,1,0.4799298312500007,0.9688910408333342
POSCAR_24_atoms_24_684,24,-9.283311574583333,1,0.4805894029166673,0.9702101841666675
POSCAR_24_atoms_24_168,24,-9.283267731666667,1,0.4806332458333333,0.9702978699999996
POSCAR_24_atoms_24_689,24,-9.282165009166668,1,0.4817359683333322,0.9725033149999973
POSCAR_24_atoms_24_976,24,-9.2806350325,1,0.4832659450000012,0.9755632683333353
POSCAR_24_atoms_24_904,24,-9.279349067083333,1,0.484551910416668,0.9781351991666689
POSCAR_24_atoms_24_270,24,-9.279278855416667,1,0.4846221220833336,0.9782756225
POSCAR_24_atoms_24_948,24,-9.278159367916668,1,0.4857416095833322,0.9805145974999974
POSCAR_24_atoms_24_192,24,-9.278019059583334,1,0.4858819179166662,0.9807952141666654
POSCAR_24_atoms_24_787,24,-9.27707106,1,0.4868299174999997,0.9826912133333323
POSCAR_24_atoms_24_59,24,-9.276553558333333,1,0.4873474191666674,0.9837262166666676
POSCAR_24_atoms_24_543,24,-9.276539455,1,0.4873615225000005,0.983754423333334
POSCAR_24_atoms_24_34,24,-9.276295553333332,1,0.4876054241666683,0.9842422266666695
POSCAR_24_atoms_24_544,24,-9.276007565416666,1,0.4878934120833343,0.9848182025000014
POSCAR_24_atoms_24_701,24,-9.274745165833332,1,0.4891558116666683,0.9873430016666696
POSCAR_24_atoms_24_477,24,-9.274688488333334,1,0.4892124891666665,0.9874563566666659
POSCAR_24_atoms_24_471,24,-9.273775315,1,0.4901256625000006,0.989282703333334
POSCAR_24_atoms_24_355,24,-9.273285781666667,1,0.4906151958333336,0.99026177
POSCAR_24_atoms_24_676,24,-9.272971913333334,1,0.4909290641666662,0.9908895066666652
POSCAR_24_atoms_24_526,24,-9.272774979166668,1,0.4911259983333327,0.9912833749999983
